uuid,seller_id,seller_firstname,seller_lastname,date_joined,country,contact_region,contact_date,contact_customer_fullname,contact_type,contact_product_type_offered_id,contact_product_type_offered,sale_net_amount,sale_gross_amount,sale_tax_rate,sale_product_total_cost
81739c76-5e2a-456d-af27-6b6e3c39ecf3,997,Lanna,Ralfston,2007-10-13,NR,El Paso,2013-04-01,Di,Phone,775,Canned sausages,443.78,768.22,0.19,379.21
27776276-70ac-4cc5-bc52-67559a08d84c,412,Ilse,Stilwell,2023-07-05,IT,Taiyuan,2019-03-14,Gilligan,Phone,549,Canned sausages,213.95,712.27,0.19,358.63
d1d27d0c-8458-44bd-a611-c68899fef434,939,Tarra,Andrel,2007-03-10,CM,Mexico City,2003-08-09,Sallie,Email,751,Spätzle,273.68,865.95,0.19,478.11
71b0534b-c361-4651-8e37-267342f8e5a6,652,Winny,Camden,2011-10-04,VU,Kandahar,2016-06-12,Trixi,Email,16,Spätzle,293.35,507.54,0.19,334.21
f9ad4371-324e-4bb0-b2c9-9fae5dea30eb,97,Wendi,Chandler,2011-12-19,GB,Hanoi,2021-11-15,Nyssa,Email,52,Spätzle,466.16,596.25,0.19,388.66
e3ca375e-935a-446d-bcf8-2cf1b068d7f4,50,Lizzie,Hewitt,2014-03-09,HT,Beirut,2014-10-24,Britte,Phone,853,Canned sausages,440.88,905.95,0.19,411.51
2fe62294-5d5c-429b-a84e-5532e0dca765,500,Jessamyn,Christine,2024-11-11,AM,Lagos,2010-03-05,Tonia,Phone,912,Canned sausages,349.55,801.76,0.19,308.58
b7a957b8-b1d6-4ab9-9dec-a7d8626b0405,256,Melanie,Ietta,2007-03-17,PL,Antofagasta,2018-12-09,Jenilee,Email,217,Canned sausages,321.26,652.2,0.19,313.86
52945668-6883-4a1c-a55d-65f79173eb03,589,Layla,Ulphia,2001-11-22,AI,Abidjan,2012-04-15,Cassondra,Email,907,Spätzle,301.64,893.52,0.19,395.59
4fec04eb-f543-4601-9206-f234dc55f1b6,480,Jsandye,Kare,2013-12-01,TZ,Hamilton,2009-04-11,Linzy,Phone,666,Spätzle,293.39,940.46,0.19,335.62
792dcdeb-5c9d-402e-9f49-05c27f25629d,870,Cassondra,Rosalba,2024-09-11,KZ,Arequipa,2022-03-31,Karena,Email,425,Spätzle,298.77,515.46,0.19,379.93
8b318eb5-5ae3-4ada-a264-5ab4513ac125,488,Rhoda,Timon,2007-01-03,PK,Campinas,2012-05-09,Doralynne,Phone,462,Spätzle,417.72,827.91,0.19,493.84
c8c71ad4-b501-4897-a3f3-205a08830b63,422,Celisse,Donoghue,2019-02-22,TZ,Durango,2005-07-15,Elyssa,Email,592,Canned sausages,287.43,722.3,0.19,351.98
3386bbe0-8e01-49ed-8d66-882f0482ac24,495,Maridel,Warthman,2000-04-28,PF,Astana,2011-05-03,Lenna,Phone,418,Spätzle,434.28,559.26,0.19,496.47
c2749ed5-db06-4b6d-9fed-7344996bd969,528,Meg,Avi,2010-07-29,CV,Petropavlovsk-Kamchatsky,2011-07-20,Glenda,Phone,501,Canned sausages,342.75,651.42,0.19,468.83
7a5612ba-6b77-4c70-8132-61282d99511b,724,Joy,Hirsch,2014-04-18,RO,Samara,2018-11-18,Lindie,Phone,250,Canned sausages,445.88,977.77,0.19,371.36
49e33389-0b02-4c7f-92d5-f02b3144b5ee,878,Leanna,Kolnick,2006-04-10,KN,Omsk,2013-01-20,Agnese,Phone,31,Canned sausages,304.92,922.04,0.19,430.77
c43fcd95-3ae8-424f-988f-af04500d4776,411,Tracey,Shanley,2022-12-25,GM,San Francisco,2012-06-07,Bibby,Email,962,Spätzle,364.07,945.68,0.19,351.32
691727b1-ac1d-49f4-9872-1a5ca0964317,229,Gisela,Argus,2009-12-05,CN,Assis,2013-07-19,Alejandra,Phone,632,Spätzle,219.07,686.12,0.19,371.16
708938a6-295b-4b84-bf11-c3ef1b615dc5,41,Ivett,Winthorpe,2007-01-03,PK,Innsbruck,2012-12-04,Elena,Email,206,Canned sausages,459.63,998.22,0.19,479.6
15f27ddb-d0e1-44fe-bedf-61acf91da247,205,Nollie,Naor,2004-08-25,VC,Pittsburgh,2017-09-28,Lexine,Email,88,Spätzle,449.32,664.12,0.19,485.41
5535a957-babd-42b5-8151-41d8d18d7200,435,Mignon,Gladstone,2019-06-01,GW,Rochester,2013-03-17,Paola,Phone,260,Canned sausages,387.8,686.85,0.19,485.95
72062174-930c-4854-96c0-dbb1a988de25,616,Adelle,McLaughlin,2009-07-05,BF,Tel Aviv,2003-02-10,Alyda,Phone,333,Spätzle,283.43,879.64,0.19,302.15
4db8339a-8b0c-42c2-af72-e8ef5908a835,134,Barbi,Quent,2003-12-15,IT,Xi'an,2010-12-12,Lilith,Email,658,Canned sausages,320.07,836.31,0.19,397.87
faa3f1c3-e1c3-4c40-86aa-1ad7ee3d043b,105,Jemie,Ortrude,2011-07-28,GL,Damascus,2024-10-14,Sindee,Email,517,Spätzle,426.87,689.35,0.19,422.33
449b4d78-1776-46f5-a999-df68f6b5a7a4,349,Fawne,Monaco,2000-08-14,MO,Moroni,2019-11-07,Lucy,Email,409,Spätzle,436.17,508.51,0.19,425.14
b009e219-b74e-4e4d-8f94-2cdbe96f68bd,67,Phedra,Angelis,2020-09-23,LV,Quebec City,2008-06-08,Mahalia,Email,892,Spätzle,373.58,540.34,0.19,463.94
94ea9d52-f6bd-4366-9cc4-e286cb81249a,249,Joeann,Pandolfi,2010-11-06,MQ,Kandahar,2009-06-10,Elena,Email,216,Spätzle,221.9,891.1,0.19,330.17
c2fff1df-f98b-49cb-a531-a094c55dc563,846,Charissa,Hollingsworth,2016-06-26,PT,Kunming,2002-09-14,Ana,Phone,608,Canned sausages,431.87,971.11,0.19,382.2
2d8b33cd-74ef-413a-b965-bb04b44c3bab,350,Elie,Parsaye,2004-10-11,TR,Harare,2008-03-10,Paola,Email,375,Spätzle,483.14,711.18,0.19,391.3
31a6e4dc-5304-4307-86f4-9a8610b1aba4,990,Leontine,Jacinda,2023-12-05,TM,Vientiane,2006-12-09,Kirstin,Email,841,Canned sausages,281.54,739.49,0.19,429.97
db5e6c40-bb43-4886-9c6f-00805a91ef48,771,Aeriela,Darbie,2001-09-21,BF,Bilbao,2021-11-02,Lizzie,Email,32,Spätzle,487.91,637.62,0.19,348.48
de4f2720-a759-4222-b989-888ff1bb3c6e,709,Leona,Genna,2011-02-19,BM,İzmir,2013-01-29,Adelle,Phone,148,Spätzle,467.79,931.48,0.19,413.64
acb43710-4f0d-448e-941e-7435baaef60d,962,Grier,Shama,2007-05-13,CG,Manaus,2010-08-23,Wilma,Phone,599,Spätzle,334.13,983.35,0.19,443.85
568b051a-39b4-458e-891c-98bffad57a51,995,Layla,Ietta,2022-01-05,GP,Dalian,2003-04-24,Brietta,Email,852,Spätzle,326.97,817.54,0.19,333.94
89465c13-6e93-48ae-9f39-50c5833f2b2f,266,Lauryn,Felizio,2010-05-16,AL,Colombo,2018-03-26,Gusella,Email,184,Canned sausages,261.54,678.56,0.19,485.27
a39cf14e-3099-4a47-8e35-ebaa535e6113,874,Leanna,Corilla,2003-03-17,KM,Astana,2013-11-20,Tilly,Email,121,Spätzle,302.61,740.95,0.19,432.93
d2b17776-a896-49af-93e1-ef95319e8992,89,Fanny,Jess,2007-05-18,AT,Asmara,2014-05-15,Lucy,Phone,380,Canned sausages,415.63,795.9,0.19,498.05
bd4cd4c9-f7a1-4f9c-82d2-ac21734c18df,273,Aryn,Fleeta,2007-05-20,LU,Port Said,2020-09-02,Amelia,Email,599,Spätzle,225.94,571.38,0.19,305.93
4aaa0856-3278-4959-8f77-7a7d63cb7d2d,131,Arlena,Anastatius,2016-09-24,LA,Bogor,2014-12-23,Veda,Email,797,Spätzle,340.73,593.96,0.19,481.27
c4353bb0-adb9-4f76-af30-02e13f66c6c8,543,Joceline,Hourigan,2007-11-28,WS,St. George's,2001-02-28,Mady,Email,194,Canned sausages,363.72,873.83,0.19,310.1
d0491595-a94b-4217-81ea-58b2839e7db4,934,Maisey,Johanna,2000-02-07,CM,Seoul,2021-02-20,Lenna,Email,769,Canned sausages,334.17,591.48,0.19,309.61
197e7dfe-9105-4ca4-9939-5df73d8f9b2e,460,Vivia,Quent,2010-03-12,JE,Geneva,2023-02-20,Yetty,Email,468,Canned sausages,432.32,815.46,0.19,451.29
3d901a4c-a333-4a16-adf8-a54fbb7946b4,924,Xylina,Koziara,2005-09-30,BA,Dallas,2012-02-17,Sam,Email,186,Canned sausages,440.81,660.68,0.19,425.65
4f8d6733-62b7-4bdb-a42a-5d843fa99501,311,Charlena,Milde,2021-11-01,LS,Kawasaki,2013-03-25,Elfreda,Email,376,Spätzle,407.45,521.85,0.19,350.77
0d5b4170-190d-4859-9f96-3fc10e0f9d53,979,Bill,Berl,2000-12-25,NC,Livingstone,2016-11-23,Sharlene,Email,649,Canned sausages,380.16,595.89,0.19,384.3
bcc5406e-91ef-4cb5-8100-ec72aa6889e7,263,Deedee,Sperling,2011-05-28,LS,Columbus,2021-07-14,Nannie,Phone,429,Spätzle,442.4,878.64,0.19,383.67
21572cff-c138-47dc-b118-c5d3190925f2,16,Therine,Myrilla,2019-08-23,GR,Anchorage,2013-06-27,Eolanda,Phone,653,Canned sausages,485.06,876.86,0.19,378.54
8040570f-b7d4-4e0d-8e63-9d9e83ba569b,907,Marcy,McAdams,2009-08-07,SA,Islamabad,2009-08-30,Clarice,Phone,867,Canned sausages,293.14,625.48,0.19,458.54
c03bffd9-1f00-4517-9bdc-b2708610cfb9,30,Lita,Middleton,2024-09-07,AL,Assis,2012-02-23,Barbi,Email,83,Spätzle,253.92,947.07,0.19,447.98
5177e6d7-13ec-4bae-8ab7-f07bb1c3bef2,669,Glynnis,Standing,2017-08-16,PK,San Fernando,2012-01-03,Brana,Email,737,Canned sausages,236.16,982.22,0.19,480.43
4ccbc94e-df92-46ba-af00-374fb0afe900,384,Lita,Saunderson,2020-12-27,BN,Multan,2017-08-26,Priscilla,Phone,950,Canned sausages,341.98,624.76,0.19,423.36
261e143b-589e-4603-941e-d6e2515946ea,685,Loree,McClimans,2001-12-16,MT,Konya,2011-10-03,Demetris,Phone,170,Spätzle,328.01,775.25,0.19,498.13
0f66baf9-b038-496f-8c47-01d5e7a99710,718,Alie,Richers,2015-03-30,GY,Okinawa,2010-02-19,Gloria,Email,316,Canned sausages,385.21,869.02,0.19,412.46
